influenced,influences,link,name
,"Bertrand Russell,Noam Chomsky,H. P. Grice,Donald Davidson (philosopher)",https://en.wikipedia.org/wiki/Stephen_Neale,Stephen Neale
"Jacques Ellul,Aldous Huxley,Richard Kroner,Gabriel Marcel,Davor Džalto,Peter Maurin,Alan Watts,Semyon Frank,Sergey Bulgakov,Ivan Devčić,Mortimer J. Adler","Jacob Böhme,Saint Seraphim of Sarov,Immanuel Kant,Franz Xaver von Baader,Aleksey Khomyakov,Fyodor Dostoyevsky,Konstantin Leontiev,Vladimir Solovyov (philosopher),Friedrich Nietzsche,Semyon Frank,Hegel,Sergey Bulgakov,Lev Shestov",https://en.wikipedia.org/wiki/Nikolai_Berdyaev,Nikolai Berdyaev
,,https://en.wikipedia.org/wiki/Jonathan_Bennett_(philosopher),Jonathan Bennett (philosopher)
"Karl Barth,Josef Pieper,Joseph Ratzinger,Edith Stein,Hans Urs von Balthasar,Karl Rahner","Thomas Aquinas,Augustine,Karl Barth,Martin Heidegger,Friedrich Hölderlin,Edmund Husserl,John Henry Newman,Friedrich Nietzsche,Max Scheler,Hans Urs von Balthasar",https://en.wikipedia.org/wiki/Erich_Przywara,Erich Przywara
,,https://en.wikipedia.org/wiki/Seraphim_Rose,Seraphim Rose
,,https://en.wikipedia.org/wiki/James_V._Schall,James V. Schall
"Plato,Jeremy Bentham,Friedrich Nietzsche,F.C.S. Schiller","Democritus,Parmenides,Anaxagoras",https://en.wikipedia.org/wiki/Protagoras,Protagoras
,,https://en.wikipedia.org/wiki/C.S._Lewis,C. S. Lewis
"Robert Audi,Tara Smith (philosopher),Bernard Gert","Aristotle,Immanuel Kant,G. E. Moore,H. A. Prichard",https://en.wikipedia.org/wiki/W._D._Ross,W. D. Ross
,,https://en.wikipedia.org/wiki/Constantine_Sandis,Constantine Sandis
,,https://en.wikipedia.org/wiki/Michael_Slote,Michael Slote
,,https://en.wikipedia.org/wiki/Judith_Jarvis_Thomson,Judith Jarvis Thomson
